4	4967	0	4967	0	4967	1	0
5	5972	0	1005	0	5972	0	0
6	7448	0	1476	0	7448	0	0
7	8452	0	1004	0	8452	0	0
8	10226	0	1774	0	10226	0	0
9	11230	0	1004	0	11230	0	0
10	12234	0	1004	0	12234	0	0
11	13237	0	1003	0	13237	0	0
12	14243	0	1006	0	14243	1	0
13	15247	0	1004	0	15247	0	0
14	16251	0	1004	0	16251	0	0
15	17256	0	1005	0	17256	0	0
16	18261	0	1005	0	18261	0	0
17	19265	0	1004	0	19265	0	0
18	20269	0	1004	0	20269	0	0
19	21272	0	1003	0	21272	0	0
20	22277	0	1005	0	22277	0	0
21	23280	0	1003	0	23280	0	0
22	24284	0	1004	0	24284	0	0
23	28848	0	4564	0	28848	0	0
24	29853	0	1005	0	29853	0	0
25	30860	0	1007	0	30860	0	0
26	31876	0	1016	0	31876	0	0
27	32880	0	1004	0	32880	0	0
28	33885	0	1005	0	33885	0	0
29	34890	0	1005	0	34890	1	0
30	35894	0	1004	0	35894	0	0
31	36899	0	1005	0	36899	0	0
32	37904	0	1005	0	37904	0	0
33	38908	0	1004	0	38908	0	0
34	39913	0	1005	0	39913	0	0
35	40917	0	1004	0	40917	0	0
36	41920	0	1003	0	41920	0	0
37	42924	0	1004	0	42924	0	0
38	43928	0	1004	0	43928	0	0
39	44932	0	1004	0	44932	0	0
40	45937	0	1005	0	45937	0	0
41	46941	0	1004	0	46941	0	0
42	47945	0	1004	0	47945	0	0
43	48949	0	1004	0	48949	0	0
44	49953	0	1004	0	49953	0	0
45	50956	0	1003	0	50956	0	0
46	51960	0	1004	0	51960	0	0
47	52963	0	1003	0	52963	0	0
48	53968	0	1005	0	53968	0	0
49	54972	0	1004	0	54972	0	0
50	55977	0	1005	0	55977	0	0
51	56981	0	1004	0	56981	0	0
52	57986	0	1005	0	57986	0	0
53	58990	0	1004	0	58990	0	0
54	59994	0	1004	0	59994	0	0
55	60999	0	1005	0	60999	0	0
56	62003	0	1004	0	62003	0	0
57	63008	0	1005	0	63008	0	0
58	64012	0	1004	0	64012	0	0
59	65017	0	1005	0	65017	0	0
60	66022	0	1005	0	66022	0	0
61	67027	0	1005	0	67027	0	0
62	68032	0	1005	0	68032	0	0
63	69037	0	1005	0	69037	0	0
64	70042	0	1005	0	70042	0	0
65	71046	0	1004	0	71046	0	0
66	72050	0	1004	0	72050	0	0
67	73054	0	1004	0	73054	0	0
68	74059	0	1005	0	74059	0	0
69	75064	0	1005	0	75064	0	0
70	76068	0	1004	0	76068	0	0
71	77071	0	1003	0	77071	0	0
72	78075	0	1004	0	78075	0	0
